City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Touba,CI,76.1,scattered clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
339,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
346,Baijiantan,CN,85.53,clear sky,45.6333,85.1833,
358,Salinopolis,BR,79.41,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
359,Miri,MY,86.43,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
363,Port Blair,IN,84.15,heavy intensity rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
364,Merauke,ID,82.2,broken clouds,-8.4667,140.3333,
365,Mastung,PK,85.62,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
366,Lalibela,ET,75.83,few clouds,12.0333,39.0333,Honey Land Hotel Lalibela
369,Gizo,SB,80.87,moderate rain,-8.103,156.8419,Imagination Island
371,Gasa,PS,82.89,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
373,Abu Samrah,SY,75.87,clear sky,35.3029,37.1841,
374,Abu Kamal,SY,81.36,overcast clouds,34.4506,40.9171,محطة التلفاز
379,Batangafo,CF,87.66,scattered clouds,7.3008,18.2833,OCHA Office
385,Hami,CN,82.09,clear sky,42.8,93.45,Laoyutang Resort
387,Dayong,CN,88.34,moderate rain,25.0209,118.2898,Haiyue Express Hotel
389,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
393,Plettenberg Bay,ZA,75.79,clear sky,-34.0527,23.3716,Thanda Vista B&B
395,Soe,ID,76.08,broken clouds,-9.8607,124.28399999999999,Dena Hotel
403,Atambua,ID,80.56,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
404,Lagunillas,VE,79.77,broken clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
412,Zhuhai,CN,88.72,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
414,Yenagoa,NG,82.8,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
418,Yaan,NG,80.92,overcast clouds,7.3833,8.5667,
421,Madiun,ID,84.06,overcast clouds,-7.6298,111.5239,ASTON Madiun Hotel & Conference Center
422,Tanete,ID,84.9,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
424,Ilheus,BR,75.6,overcast clouds,-14.7889,-39.0494,Barravento Hotel
427,Moa,CU,76.14,overcast clouds,20.6569,-74.9403,Carmen
428,Mogadishu,SO,81.91,clear sky,2.0371,45.3438,Hotel Juba
430,Adrar,MR,89.56,clear sky,20.5022,-10.0711,
433,Makaha,US,78.71,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
435,Tawau,MY,83.25,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
439,Salalah,OM,89.69,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
440,Ambunti,PG,78.6,overcast clouds,-4.2365,142.8448,Ambunti Lodge
441,Faanui,PF,81.3,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
447,Alugan,PH,84.74,scattered clouds,12.2188,125.4808,JM Lodge
459,Erzin,TR,86.52,clear sky,36.9559,36.2,Artemis Otel
461,Sumenep,ID,86.16,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
463,Verkhniy Baskunchak,RU,86.0,overcast clouds,48.2256,46.7217,Kombat
465,Raga,SS,89.35,broken clouds,8.4596,25.678,
473,Namibe,AO,80.22,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
480,Ternate,ID,82.24,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
482,Ishigaki,JP,83.71,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
484,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
487,Atar,MR,87.78,clear sky,20.5169,-13.0499,Oumou Elghoura
488,Gat,IL,81.79,clear sky,31.61,34.7642,OlusHome
490,Ilorin,NG,80.64,overcast clouds,8.5,4.55,Ayala Suite Annex
492,Tagab,AF,80.51,clear sky,34.855,69.6492,
494,Kerema,PG,80.1,broken clouds,-7.9631,145.7785,Frena Lodge
498,Matadi,CD,83.05,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
507,Point Pedro,LK,87.39,overcast clouds,9.8167,80.2333,Gtr homes
508,Mana,GF,77.07,heavy intensity rain,5.6592,-53.7767,LE SAMANA
511,Kupang,ID,86.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
512,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
513,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
516,Accra,GH,82.8,broken clouds,5.556,-0.1969,Accra City Hotel
518,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
521,Thinadhoo,MV,84.76,overcast clouds,0.5333,72.9333,
524,Torit,SS,81.64,moderate rain,4.4133,32.5678,Diplomat Guest House
531,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
534,Porto Novo,BJ,85.44,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
536,Iracoubo,GF,77.77,moderate rain,5.4802,-53.2011,Le Gite D Iracoubo
538,Karratha,AU,76.14,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
546,Jertih,MY,87.76,overcast clouds,5.7336,102.4897,One Utama Hotel
548,Lakatoro,VU,75.49,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
550,Veraval,IN,89.73,clear sky,20.9,70.3667,Lords Inn Somnath
553,Hambantota,LK,84.34,overcast clouds,6.1241,81.1185,Bungalow 63
554,Cockburn Town,TC,78.49,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
555,Kavaratti,IN,83.79,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
558,Muncar,ID,84.11,broken clouds,-8.4333,114.3333,Zaky Homestay
561,Bandrele,YT,83.95,few clouds,-12.9067,45.1914,Les Baobabs
564,Bara,NG,88.07,few clouds,10.3744,10.7288,
570,Sola,VU,76.89,overcast clouds,-13.8833,167.55,Leumerus Bungalows
571,Boyolangu,ID,81.9,broken clouds,-8.1181,111.8935,Yos ega cv
572,Abong Mbang,CM,77.92,overcast clouds,3.9833,13.1833,Auberge Angle Sur
577,Mayumba,GA,79.56,overcast clouds,-3.432,10.6554,LIKWALE LODGE
578,Sarkand,KZ,81.79,clear sky,45.41,79.9186,Гостиница Сарканд
580,Gamba,GA,81.03,scattered clouds,-2.65,10.0,
581,Bocas Del Toro,PA,80.08,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
